Year,Total male population (000s),Total female population (000s),Total population (000s),Median age,Sex ratio,Median age at death,Total fertility,Child dependency,Elderly dependency,Total dependency
1971,1133.0,1107.5,2240.5,27.8,102.3,0.0,0.0,0.581,0.161,0.742
1972,1162.8,1139.3,2302.1,27.9,102.1,72.3,1966.0,0.564,0.16,0.724
1973,1194.3,1172.9,2367.3,28.1,101.8,71.9,1875.0,0.545,0.159,0.704
1974,1231.2,1211.3,2442.6,28.2,101.6,71.5,1769.0,0.525,0.158,0.683
1975,1258.2,1241.3,2499.6,28.5,101.4,71.5,1756.0,0.509,0.158,0.667
1976,1272.8,1261.1,2533.9,28.9,100.9,71.4,1690.0,0.492,0.16,0.652
1977,1289.0,1281.3,2570.3,29.3,100.6,71.6,1649.0,0.476,0.162,0.638
1978,1310.0,1305.2,2615.2,29.7,100.4,71.9,1630.0,0.459,0.164,0.623
1979,1332.9,1332.3,2665.2,30.1,100.0,71.9,1637.0,0.443,0.166,0.61
1980,1372.9,1373.0,2745.9,30.4,100.0,72.2,1615.0,0.431,0.169,0.599
1981,1413.3,1413.2,2826.6,30.6,100.0,72.4,1619.0,0.417,0.169,0.586
1982,1437.4,1439.1,2876.5,31.0,99.9,73.0,1664.0,0.405,0.17,0.575
1983,1451.6,1455.9,2907.5,31.4,99.7,73.3,1631.0,0.397,0.173,0.569
1984,1470.1,1477.0,2947.2,31.8,99.5,73.5,1661.0,0.392,0.175,0.567
1985,1482.4,1492.7,2975.1,32.3,99.3,74.1,1675.0,0.39,0.182,0.571
1986,1495.1,1508.6,3003.6,32.8,99.1,74.4,1624.0,0.386,0.188,0.574
1987,1516.9,1531.7,3048.7,33.2,99.0,74.6,1615.0,0.384,0.193,0.577
1988,1549.0,1565.8,3114.8,33.5,98.9,74.9,1588.0,0.38,0.196,0.576
1989,1589.7,1607.0,3196.7,33.8,98.9,74.8,1631.0,0.377,0.198,0.575
1990,1637.9,1654.3,3292.1,34.1,99.0,75.1,1659.0,0.377,0.199,0.576
1991,1681.6,1692.2,3373.8,34.4,99.4,75.5,1646.0,0.375,0.2,0.575
1992,1727.6,1741.2,3468.8,34.6,99.2,75.8,1652.0,0.376,0.2,0.575
1993,1776.9,1790.8,3567.8,34.9,99.2,76.1,1631.0,0.374,0.198,0.572
1994,1832.2,1843.8,3676.1,35.1,99.4,75.8,1617.0,0.371,0.197,0.569
1995,1884.3,1893.1,3777.4,35.4,99.5,76.2,1617.0,0.368,0.197,0.565
1996,1929.3,1945.0,3874.3,35.7,99.2,76.4,1573.0,0.364,0.196,0.56
1997,1965.5,1983.1,3948.6,36.0,99.1,76.8,1515.0,0.36,0.196,0.557
1998,1980.5,2002.6,3983.1,36.5,98.9,77.1,1468.0,0.356,0.199,0.554
1999,1992.6,2018.8,4011.4,37.0,98.7,77.4,1443.0,0.35,0.2,0.551
2000,2005.4,2033.9,4039.2,37.5,98.6,77.8,1422.0,0.344,0.202,0.546
2001,2023.4,2053.5,4076.9,37.9,98.5,78.4,1382.0,0.337,0.203,0.54
2002,2033.1,2067.1,4100.2,38.4,98.4,78.3,1383.0,0.329,0.205,0.534
2003,2044.1,2079.8,4123.9,38.9,98.3,78.5,1417.0,0.323,0.207,0.53
2004,2058.4,2096.6,4155.0,39.4,98.2,78.9,1414.0,0.317,0.209,0.526
2005,2078.9,2116.9,4195.8,39.7,98.2,78.9,1429.0,0.312,0.211,0.523
2006,2101.3,2140.3,4241.7,40.1,98.2,79.1,1443.0,0.308,0.214,0.522
2007,2127.6,2163.4,4291.0,40.3,98.3,79.5,1473.0,0.302,0.216,0.518
2008,2158.8,2190.6,4349.4,40.5,98.5,79.5,1507.0,0.297,0.219,0.515
2009,2191.1,2219.6,4410.7,40.6,98.7,79.9,1497.0,0.293,0.222,0.514
2010,2219.7,2246.2,4465.9,40.8,98.8,79.7,1468.0,0.289,0.226,0.515
2011,2236.8,2262.4,4499.1,41.1,98.9,80.1,1437.0,0.287,0.232,0.519
2012,2259.3,2287.0,4546.3,41.4,98.8,80.4,1417.0,0.283,0.241,0.524
2013,2280.5,2309.6,4590.1,41.6,98.7,80.4,1421.0,0.28,0.251,0.531
2014,2307.7,2338.8,4646.5,41.8,98.7,80.5,1389.0,0.277,0.26,0.537
2015,2330.0,2364.7,4694.7,42.0,98.5,80.7,1396.0,0.277,0.269,0.546
2016,2361.0,2396.6,4757.7,42.0,98.5,80.8,1383.0,0.277,0.278,0.554
2017,2389.5,2427.7,4817.2,42.1,98.4,80.9,1370.0,0.276,0.285,0.561
2018,2411.7,2454.2,4865.9,42.3,98.3,80.9,1412.0,0.274,0.294,0.569
2019,2437.7,2484.3,4922.0,42.4,98.1,81.1,1413.0,0.274,0.304,0.578
2020,2464.6,2515.6,4980.1,42.5,98.0,81.2,1410.0,0.275,0.314,0.589
2021,2491.9,2547.8,5039.7,42.7,97.8,81.3,1409.0,0.276,0.324,0.601
2022,2519.7,2580.6,5100.3,42.8,97.6,81.4,1406.0,0.278,0.335,0.613
2023,2547.6,2613.7,5161.4,43.0,97.5,81.6,1405.0,0.28,0.345,0.625
2024,2575.5,2646.5,5222.0,43.1,97.3,81.8,1403.0,0.282,0.355,0.637
2025,2603.2,2679.0,5282.1,43.3,97.2,81.9,1401.0,0.283,0.366,0.649
2026,2631.4,2711.9,5343.3,43.5,97.0,82.1,1400.0,0.284,0.376,0.66
2027,2660.0,2745.4,5405.4,43.7,96.9,82.3,1399.0,0.285,0.385,0.67
2028,2688.1,2778.6,5466.7,43.8,96.7,82.5,1397.0,0.286,0.395,0.681
2029,2715.7,2811.5,5527.2,44.0,96.6,82.7,1395.0,0.287,0.404,0.691
2030,2742.9,2843.9,5586.7,44.2,96.4,83.1,1393.0,0.288,0.411,0.7
2031,2769.5,2875.5,5645.0,44.4,96.3,83.4,1386.0,0.288,0.417,0.705
2032,2796.0,2907.0,5702.9,44.6,96.2,83.7,1387.0,0.288,0.421,0.71
2033,2822.2,2938.1,5760.4,44.7,96.1,84.0,1384.0,0.288,0.426,0.714
2034,2847.5,2968.3,5815.8,44.9,95.9,84.3,1385.0,0.288,0.431,0.719
2035,2872.1,2998.0,5870.1,45.2,95.8,84.6,1386.0,0.288,0.436,0.724
2036,2896.5,3027.4,5923.9,45.4,95.7,84.9,1389.0,0.287,0.441,0.728
2037,2920.4,3056.2,5976.7,45.6,95.6,85.2,1390.0,0.286,0.443,0.729
2038,2944.0,3084.4,6028.4,45.8,95.4,85.5,1392.0,0.284,0.445,0.73
2039,2967.1,3112.1,6079.2,46.1,95.3,85.8,1394.0,0.282,0.447,0.729
2040,2989.8,3139.3,6129.1,46.3,95.2,86.2,1396.0,0.28,0.449,0.729
2041,3012.2,3166.1,6178.3,46.6,95.1,86.5,1398.0,0.278,0.45,0.729
